,Star_name,Distance,Mass,Radius,Gravity
0,SDSS J000013.54+255418.6�[de],0.000015813,1.99E+30,695700000,4.10952E+12
1,2MASS J00040288-6410358,8.6,3.40E+30,1460970000,1.59349E+12
2,2MASS J00242463-0158201,4.4,2.39E+30,765270000,4.07555E+12
3,2MASS J00274197+0503417,25,5.37E+30,1530540000,2.2925E+12
4,2MASSW J0030300-145033,860,1.57E+32,16001100000,6.12932E+11
5,2MASS J00332386-1521309�[de],11.4,3.78E+30,1043550000,3.47026E+12
6,2MASS J00345157+0523050,640,1.89E+33,13914000000,9.7601E+12
7,2MASS 0036+1821,144,1.85E+31,4661190000,8.51381E+11
8,2MASSW J0045214+163445,390,1.71E+31,7304850000,3.20561E+11
9,WISEP J004701.06+680352.1�[fr],17,3.58E+30,1252260000,2.28306E+12
10,2MASS J00501994-3322402�[de],320,1.77E+31,12522600000,1.12885E+11
11,2MASS J00584253-0651239�[de],600,1.35E+33,8348400000,1.94061E+13
12,2MASSI J0103320+193536,34,1.75E+31,1321830000,1.00177E+13
13,SDSSp J010752.33+004156.1�[de],25,3.58E+30,1321830000,2.04907E+12
14,2MASSI J0117474-340325�[de],2600,4.04E+32,13218300000,2.31089E+12
15,2MASS J01415823-4633574�[de],350,1.67E+31,11131200000,1.34844E+11
16,SDSS J015141.69+124429.6,77,6.17E+30,2643660000,8.82237E+11
17,SDSS J020742.48+000056.2�[de],88,1.67E+32,1043550000,1.53422E+14
18,2MASS J02103857-3015313,240,1.15E+31,5983020000,3.22271E+11
19,2MASS J02340093-6442068,130,8.35E+30,3478500000,6.90399E+11
20,2MASS J02411151-0326587�[de],110,1.35E+31,2434950000,2.2812E+12
21,2MASS J02431371?2453298,2000,8.35E+31,22262400000,1.68554E+11
22,LP 771-21,1100,1.19E+31,6261300000,3.04409E+11
23,2MASS J02535980+3206373,81,8.35E+30,2017530000,2.05232E+12
24,WISE J0254+0223,1050,3.98E+31,22958100000,75473222282
25,DEN 0255-4700,120,5.97E+31,2956725000,6.8255E+12
26,2MASS J03185403-3421292�[de],590,1.35E+32,5913450000,3.86778E+12
27,2MASS J03205965+1854233,1600,3.98E+32,11826900000,2.84396E+12
28,2MASS J03231002-4631237,270,5.17E+31,3965490000,3.28863E+12
29,SDSS J032553.17+042540.1,140,1.35E+31,2434950000,2.2812E+12
30,2MASS J03264225-2102057�[de],630,2.59E+32,6261300000,6.59552E+12
31,2MASS J03284265+2302051�[de],104,6.76E+30,4243770000,3.755E+11
32,2MASS J03341218-4953322,81,5.51E+30,1662723000,1.99285E+12
33,LP 944-20,390,1.83E+32,4869900000,7.71583E+12
34,2MASP J0345432+254023,109,6.56E+30,1947960000,1.72977E+12
35,Teide 1,180,9.55E+30,4104630000,5.66667E+11
36,2MASS J03510004-0052452,80,5.77E+30,1669680000,2.06903E+12
37,2MASS J03552337+1133437,500,1.99E+31,9391950000,2.25488E+11
38,2MASS J04151954?0935066,180,9.95E+31,2087100000,2.28306E+13
39,2MASS J04285096-2253227�[de],196,1.89E+32,1460970000,8.8527E+13
40,2MASS J04351612-1606574,653,2.78E+32,10435500000,2.55703E+12
41,2MASS J04362788-4114465,360,5.57E+32,1947960000,1.46768E+14
42,2MASS J04390101-2353083�[de],11.9,1.78E+30,544733100,5.98575E+12
43,2MASS J04433764+0002040,10.48,1.47E+30,570474000,4.52267E+12
44,2MASS J04455387-3048204�[de],8900,9.65E+32,13914000000,4.98279E+12
45,2MASS J04510093-3402150�[de],7500,1.75E+33,69570000000,3.62048E+11
46,2MASS J05002100+0330501�[de],887,8.85E+31,3130650000,9.03079E+12
47,2MASS J05012406-0010452�[de],6000,1.93E+33,13357440000,1.08356E+13
48,2MASS J05160945-0445499�[de],44.25,2.94E+30,883539000,3.7709E+12
49,2MASS J0523?1403,8154,1.95E+33,15305400000,8.32941E+12
50,LSR 0602+3910�[de],11.41,1.32E+30,486990000,5.5772E+12
51,2MASS J06085283-2753583,178,5.93E+32,486990000,2.49926E+15
52,2MASS J06244595-4521548�[de],36.1,1.87E+30,528732000,6.68793E+12
53,2MASS J06411840-4322329�[de],300,7.36E+32,834840000,1.05592E+15
54,DENIS-P J0652197-253450�[de],14000,2.30E+33,9670230000,2.46303E+13
55,UGPS J072227.51-054031.2,202,4.06E+30,563517000,1.27776E+13
56,2MASSI J0727182+171001�[de],130,6.76E+30,556560000,2.18318E+13
57,2MASS J07290002-3954043�[de],3900,2.82E+33,11826900000,2.01921E+13
58,SDSS J074201.41+205520.5�[de],25000,6.36E+32,69570000000,1.31505E+11
59,2MASS J07522390+1612157,5.98,3.98E+29,97398000,4.19338E+13
60,DENIS J081730.0-615520,10000,5.37E+31,556560000,1.7337E+14
61,2MASS J08251968+2115521�[de],163000,6.36E+31,2.01753E+11,1563668757
62,SDSSp J083008.12+482847.4�[de],163000,4.20E+31,1.31487E+11,2427446256
63,LHS 2021,18134,7.76E+29,13218300000,4439644354
64,SDSS J083048.80+012831.1�[de],164000,2.88E+31,39988836000,17998063867
65,2MASSI J0835425-081923�[de],2772,1.97E+30,702657000,3.98826E+12
66,2MASSI J0847287-153237�[de],47.5,4.18E+29,111312000,3.37109E+13
67,2MASSI J0859254-194926�[de],5251,5.51E+33,34785000000,4.55334E+12
68,2MASSI J0937347+293142,163000,3.44E+33,13914000000,1.77737E+13
69,2MASS 0939?2448,39.6,2.39E+29,61917300,6.22575E+13
70,2MASS J09490860-1545485�[de],40.3,1.71E+29,48699000,7.21262E+13
